Q#,Question Text,Correct Answer,Unit Index,Grammar Topic,Explanation for Beginners,Explanation (VI),Explanation (ES),Explanation (ZH),Distractor 1,Distractor 2,Distractor 3
1,Most university students __________ on campus in their first year.,B (live),Unit 1,Present tenses,We use the Present Simple for facts and habits.,Chúng ta dùng thì Hiện tại đơn cho sự thật và thói quen.,Usamos el Presente Simple para hechos y hábitos.,我们使用一般现在时来表示事实和习惯。,living,lives,lived
2,From this graph we can see that the economy __________ at the moment.,C (is improving),Unit 1,Present tenses,"We use the Present Continuous for things happening now (""at the moment"").","Chúng ta dùng thì Hiện tại tiếp diễn cho những việc đang xảy ra ngay bây giờ (""at the moment"").","Usamos el Presente Continuo para cosas que están sucediendo ahora (""at the moment"").","我们使用现在进行时来表示正在发生的事情（""at the moment""）。",improves,improved,has improved
3,They __________ personal computers when my father was a student.,B (didn’t have),Unit 2,Past tenses 1,"We use ""didn't have"" because we don't usually use ""having"" to mean possession.","Chúng ta dùng ""didn't have"" vì thường không dùng ""having"" để chỉ sự sở hữu.","Usamos ""didn't have"" porque usualmente no usamos ""having"" para significar posesión.","我们使用 ""didn't have""，因为我们通常不用 ""having"" 表示拥有。",haven't,no had,not having
4,I __________ want to be a practising doctor but now I’m more interested in research.,B (used to),Unit 2,Past tenses 1,"We use ""used to"" for things that were true in the past but not now.","Chúng ta dùng ""used to"" cho những việc đã đúng trong quá khứ nhưng giờ không còn nữa.","Usamos ""used to"" para cosas que eran ciertas en el pasado pero no ahora.","我们使用 ""used to"" 来表示过去是真实的但现在已不再真实的事情。",use to,usually,using to
5,The teacher __________ us how to do the experiment when the fire bell rang.,C (was showing),Unit 2,Past tenses 1,We use Past Continuous for a longer action interrupted by a short one.,Chúng ta dùng thì Quá khứ tiếp diễn cho một hành động dài bị ngắt quãng bởi một hành động ngắn.,Usamos Pasado Continuo para una acción más larga interrumpida por una corta.,我们使用过去进行时来表示被短暂动作打断的长动作。,showed,shows,is showing
6,I finished my essay yesterday but __________ it in to the tutor yet.,B (I haven’t given),Unit 3,Present perfect,"We use ""yet"" with negative sentences to say something hasn't happened.","Chúng ta dùng ""yet"" trong câu phủ định để nói điều gì đó chưa xảy ra.","Usamos ""yet"" con oraciones negativas para decir que algo no ha sucedido.","我们在否定句中使用 ""yet"" 来表示某事尚未发生。",didn't give,don't give,not giving
7,__________ the experiment three times now with different results each time!,A (We’ve done),Unit 3,Present perfect,We use Present Perfect to say how many times something has happened.,Chúng ta dùng thì Hiện tại hoàn thành để nói việc gì đó đã xảy ra bao nhiêu lần.,Usamos el Presente Perfecto para decir cuántas veces ha sucedido algo.,我们使用现在完成时来表示某事发生的次数。,We do,We done,We doing
8,When I arrived the lecture __________ so I didn’t find it easy to follow.,B (had started),Unit 4,Past tenses 2,We use Past Perfect for the first of two past actions.,Chúng ta dùng thì Quá khứ hoàn thành cho hành động xảy ra trước trong hai hành động quá khứ.,Usamos el Pasado Perfecto para la primera de dos acciones pasadas.,我们使用过去完成时来表示两个过去动作中先发生的那个。,started,has started,was starting
9,She __________ well at school but that changed when she became friends with a different group of girls.,C (had been doing),Unit 4,Past tenses 2,We use Past Perfect Continuous to emphasize how long something happened before a past moment.,Chúng ta dùng thì Quá khứ hoàn thành tiếp diễn để nhấn mạnh khoảng thời gian một việc xảy ra trước một thời điểm trong quá khứ.,Usamos el Pasado Perfecto Continuo para enfatizar cuánto tiempo sucedió algo antes de un momento pasado.,我们使用过去完成进行时来强调某事在过去某时刻之前持续了多久。,did,has done,was doing
10,__________ the doctor at 2.00 this afternoon so I can’t go to the lecture.,A (I’m seeing),Unit 5,Future 1,We use Present Continuous for fixed arrangements in the future.,Chúng ta dùng thì Hiện tại tiếp diễn cho các sự sắp xếp cố định trong tương lai.,Usamos el Presente Continuo para arreglos fijos en el futuro.,我们使用现在进行时来表示将来确定的安排。,I see,I saw,I will see
