URL,Lesson ID,Lesson Name,Grammar Topic ID,Grammar Topic Name,English Level,Status Published,Duration (s)
https://ejoy-english.com/epic/videoEpic/hoppin-online-marketing/digital-marketing-trends/ep_1154,ep_1154,Hoppin Online Marketing - Digital Marketing Trends,gra_1,Subjunctive Verbs,4,Yes,177
https://ejoy-english.com/epic/videoEpic/cbs/security-flaws-found-processors/ep_1112,ep_1112,CBS - Security Flaws Found In Processors,gra_1,Subjunctive Verbs,5,Yes,105
https://ejoy-english.com/epic/videoEpic/john-carter/white-apes/ep_611,ep_611,John Carter - White Apes,gra_1,Subjunctive Verbs,3,Yes,163
https://ejoy-english.com/epic/videoEpic/hobbit-desolation-smaug/you-have-no-right/ep_473,ep_473,The Hobbit - The Desolation of Smaug - You Have No Right,gra_1,Subjunctive Verbs,3,Yes,65
https://ejoy-english.com/epic/videoEpic/hercules/trap/ep_424,ep_424,Hercules - Trap,gra_1,Subjunctive Verbs,3,Yes,41
https://ejoy-english.com/epic/videoEpic/60352,60352,ISIS Bombs Indonesia,gra_2,To Be,3,Yes,20
https://ejoy-english.com/epic/videoEpic/hall-pass/i-pretend-be-asleep/ep_696,ep_696,Hall Pass - I Pretend to Be Asleep,gra_2,To Be,3,Yes,60
https://ejoy-english.com/epic/videoEpic/mirror-mirror/bunny-hat/ep_606,ep_606,Mirror Mirror - Bunny Hat,gra_2,To Be,4,Yes,60
https://ejoy-english.com/epic/videoEpic/life-pi/alone-tiger/ep_537,ep_537,Life Of Pi - Alone With A Tiger,gra_2,To Be,5,Yes,62
https://ejoy-english.com/epic/videoEpic/maleficent/awkward-situation/ep_442,ep_442,Maleficent - Awkward Situation,gra_2,To Be,3,Yes,69
https://ejoy-english.com/epic/videoEpic/lucy/downtown-paris/ep_426,ep_426,Lucy - Downtown Paris,gra_2,To Be,3,Yes,136
https://ejoy-english.com/epic/videoEpic/magic-moonlight/do-you-travel/ep_414,ep_414,Magic in the Moonlight - Do You Like to Travel?,gra_2,To Be,4,Yes,46
https://ejoy-english.com/epic/videoEpic/kingsman-secret-service/weapons-cache/ep_388,ep_388,Kingsman - The Secret Service - Weapons Cache,gra_2,To Be,4,Yes,59
https://ejoy-english.com/epic/videoEpic/birdman/youre-actress-honey/ep_385,ep_385,"Birdman - You're An Actress, Honey",gra_2,To Be,4,Yes,64
https://ejoy-english.com/epic/videoEpic/transformers-last-knight/were-covered/ep_150,ep_150,Transformers: The Last Knight - We're Covered,gra_2,To Be,1,Yes,60
https://ejoy-english.com/epic/videoEpic/den-thieves/my-dad/ep_73,ep_73,Den of Thieves - This is My Dad,gra_2,To Be,4,Yes,57
https://ejoy-english.com/epic/videoEpic/3363_p2,3363_p2,Saying hello - Different ways,gra_2,To Be,2,Yes,54
https://ejoy-english.com/epic/videoEpic/208,208,Telling the Time,gra_2,To Be,1,Yes,131
https://ejoy-english.com/epic/videoEpic/212,212,The Weather,gra_2,To Be,1,Yes,88
https://ejoy-english.com/epic/videoEpic/203,203,How Old Are You?,gra_2,To Be,1,Yes,118
https://ejoy-english.com/epic/videoEpic/history-english/age-dictionary/ep_1263,ep_1263,History Of English - The Age Of The Dictionary,gra_3,Adverbs of frequency,6,Yes,81
https://ejoy-english.com/epic/videoEpic/alanis-morisette/ironic/ep_964,ep_964,Alanis Morisette - Ironic,gra_3,Adverbs of frequency,4,Yes,245
